id	page_id	batch_id	ocr_text_path	ocr_xml_path	ocr_completed	juxta_change_index	alt_change_index	noisiness_idx
2272611	18635843	1034	/data/shared/text-xml/IDHMC-ocr/285/285017/1034/11.txt	/data/shared/text-xml/IDHMC-ocr/285/285017/1034/11.xml	2014-12-14 14:15:46	0.957	0.889	NULL
2272612	2345490	1034	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/14.txt	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/14.xml	2014-12-14 14:15:46	0.506	0.374	NULL
2272613	2271333	1034	/data/shared/text-xml/IDHMC-ocr/280/279965/1034/9.txt	/data/shared/text-xml/IDHMC-ocr/280/279965/1034/9.xml	2014-12-14 14:15:46	0.878	0.873	NULL
2272616	2253539	1034	/data/shared/text-xml/IDHMC-ocr/273/272940/1034/253.txt	/data/shared/text-xml/IDHMC-ocr/273/272940/1034/253.xml	2014-12-14 14:15:48	0.873	0.840	NULL
2272617	2350141	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/27.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/27.xml	2014-12-14 14:15:49	0.823	0.686	NULL
2272618	2325148	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/75.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/75.xml	2014-12-14 14:15:50	0.893	0.816	NULL
2272622	2350160	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/46.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/46.xml	2014-12-14 14:15:52	0.817	0.750	NULL
2272624	2325111	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/38.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/38.xml	2014-12-14 14:15:54	0.855	0.750	NULL
2272629	2325168	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/95.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/95.xml	2014-12-14 14:15:55	0.783	0.559	NULL
2272631	18635842	1034	/data/shared/text-xml/IDHMC-ocr/285/285017/1034/10.txt	/data/shared/text-xml/IDHMC-ocr/285/285017/1034/10.xml	2014-12-14 14:15:56	0.955	0.925	NULL
2272637	2179604	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/237.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/237.xml	2014-12-14 14:15:59	0.757	0.473	NULL
2272639	2325130	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/57.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/57.xml	2014-12-14 14:16:00	0.537	0.382	NULL
2272641	2325091	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/18.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/18.xml	2014-12-14 14:16:01	0.767	0.686	NULL
2272644	2271328	1034	/data/shared/text-xml/IDHMC-ocr/280/279965/1034/4.txt	/data/shared/text-xml/IDHMC-ocr/280/279965/1034/4.xml	2014-12-14 14:16:02	0.880	0.833	NULL
2272646	2350121	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/7.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/7.xml	2014-12-14 14:16:02	0.685	0.558	NULL
2272647	2325205	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/132.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/132.xml	2014-12-14 14:16:02	0.363	0.262	NULL
2272648	2271332	1034	/data/shared/text-xml/IDHMC-ocr/280/279965/1034/8.txt	/data/shared/text-xml/IDHMC-ocr/280/279965/1034/8.xml	2014-12-14 14:16:03	0.876	0.844	NULL
2272649	2350159	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/45.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/45.xml	2014-12-14 14:16:07	0.844	0.723	NULL
2272650	2350140	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/26.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/26.xml	2014-12-14 14:16:08	0.681	0.500	NULL
